                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.02791,                 9.7961,                 5.8481,                0.15507,                 0.8741,                0.99992,                      1,                  0.995,                0.99482,                0.61488,                0.61417,                 0.4789,                0.16898,                0.04573,                 6.9024,                 5.3557,                 0.2169,                0.58618,               0.007756,               0.007756,               0.007756
                     37,                0.02709,                 9.6372,                 5.7255,                0.15138,                0.86932,                0.99989,                      1,                  0.995,                0.99479,                0.61654,                0.61575,                0.50364,                 0.1859,                0.04512,                 6.8929,                 5.5282,                0.20683,                0.58083,                0.00769,                0.00769,                0.00769
                     38,                0.02709,                 9.7649,                 5.7013,                0.15042,                0.87096,                0.99995,                      1,                  0.995,                0.99436,                0.63616,                0.63622,                  0.518,                0.19112,                0.04701,                 6.6927,                 5.4266,                0.20971,                0.59527,               0.007624,               0.007624,               0.007624
                     39,                0.02756,                 9.6824,                  5.738,                0.15433,                0.87544,                0.99985,                      1,                  0.995,                0.99406,                0.64085,                0.64094,                  0.533,                0.19254,                0.04678,                 6.8163,                 5.3869,                0.22904,                  0.598,               0.007558,               0.007558,               0.007558
                     40,                0.02762,                  9.726,                 5.7626,                0.15389,                0.87354,                0.99994,                      1,                  0.995,                0.99393,                0.63613,                0.63622,                0.48848,                0.17469,                0.04824,                 6.7597,                 5.4396,                0.20889,                0.60463,               0.007492,               0.007492,               0.007492
                     41,                0.02677,                 9.5889,                 5.7149,                0.15098,                0.87407,                0.99988,                      1,                  0.995,                0.99485,                0.63302,                0.63307,                0.52762,                 0.2042,                 0.0457,                  6.689,                 5.4845,                0.20464,                0.58953,               0.007426,               0.007426,               0.007426
                     42,                0.02652,                  9.529,                 5.6848,                0.14932,                0.87672,                0.99991,                      1,                  0.995,                0.99458,                0.63148,                 0.6315,                0.51633,                0.20391,                0.04466,                  6.607,                 5.3182,                0.21291,                0.58712,                0.00736,                0.00736,                0.00736
                     43,                0.02645,                 9.4071,                 5.5793,                0.14988,                0.87047,                0.99991,                      1,                  0.995,                0.99477,                0.64342,                0.64252,                0.49969,                0.19254,                0.04476,                 6.5577,                 5.3054,                0.19979,                0.58109,               0.007294,               0.007294,               0.007294
                     44,                0.02596,                 9.3712,                 5.6706,                0.14465,                0.87266,                0.99994,                      1,                  0.995,                0.99421,                   0.65,                0.64882,                0.55479,                 0.2111,                0.04585,                  6.602,                 5.3757,                0.20847,                0.59046,               0.007228,               0.007228,               0.007228
                     45,                0.02592,                 9.3768,                 5.6195,                0.14757,                0.87198,                0.99988,                      1,                  0.995,                0.99484,                0.66181,                0.66142,                0.53775,                0.19884,                0.04821,                 6.5651,                 5.1935,                0.20753,                 0.6029,               0.007162,               0.007162,               0.007162
                     46,                0.02581,                 9.4267,                 5.5481,                0.14832,                0.87059,                0.99988,                      1,                  0.995,                0.99408,                0.66455,                0.66457,                0.58474,                0.22186,                0.04568,                 6.5182,                 5.3354,                0.21557,                0.59196,               0.007096,               0.007096,               0.007096
                     47,                0.02562,                 9.3225,                 5.5063,                0.14524,                0.87315,                0.99982,                      1,                  0.995,                0.99474,                0.65957,                0.65827,                 0.5849,                 0.2313,                0.04815,                  6.449,                 5.2884,                0.20716,                  0.594,                0.00703,                0.00703,                0.00703
                     48,                0.02506,                 9.3036,                 5.4826,                0.14424,                0.87175,                 0.9999,                      1,                  0.995,                0.99416,                0.66927,                0.66929,                0.57522,                0.22193,                0.04739,                 6.4698,                 5.2207,                0.20772,                0.59861,               0.006964,               0.006964,               0.006964
                     49,                0.02493,                 9.2469,                 5.5169,                0.14392,                0.87085,                0.99991,                      1,                  0.995,                  0.994,                0.66454,                0.66457,                0.56438,                  0.221,                0.04872,                 6.4014,                 5.3712,                0.21069,                0.60229,               0.006898,               0.006898,               0.006898
                     50,                0.02484,                 9.2458,                 5.5249,                0.14379,                0.86944,                 0.9999,                      1,                  0.995,                 0.9948,                0.66614,                0.66614,                0.55884,                0.22199,                0.04543,                 6.3344,                 5.4277,                0.20035,                0.58854,               0.006832,               0.006832,               0.006832
                     51,                0.02458,                 9.2121,                 5.3734,                0.14418,                0.87355,                0.99991,                      1,                  0.995,                  0.995,                0.67085,                0.67087,                0.57259,                0.23429,                0.04508,                 6.3213,                 5.2891,                0.19674,                0.58558,               0.006766,               0.006766,               0.006766
                     52,                0.02384,                 9.1778,                 5.3384,                0.13959,                0.86985,                0.99991,                      1,                  0.995,                0.99464,                0.68394,                0.68496,                0.59144,                0.23723,                0.04543,                 6.2973,                 5.3184,                0.19728,                 0.5842,                 0.0067,                 0.0067,                 0.0067
                     53,                0.02427,                  9.096,                 5.4204,                0.14011,                0.87137,                0.99992,                      1,                  0.995,                0.99485,                 0.6834,                0.68346,                0.58632,                0.23835,                0.04618,                 6.2466,                 5.3027,                0.20969,                 0.5953,               0.006634,               0.006634,               0.006634
                     54,                0.02434,                 9.0342,                 5.4151,                0.13871,                0.87143,                 0.9999,                      1,                  0.995,                0.99457,                 0.6708,                0.67087,                 0.5702,                0.22699,                0.04707,                 6.2931,                 5.1064,                0.21482,                0.59619,               0.006568,               0.006568,               0.006568
                     55,                 0.0234,                 9.0375,                 5.3692,                 0.1357,                0.87084,                0.99834,                      1,                  0.995,                0.99461,                0.67761,                0.67874,                0.59464,                 0.2445,                0.04454,                 6.3221,                   5.07,                0.20406,                0.58346,               0.006502,               0.006502,               0.006502
                     56,                0.02376,                 9.0695,                 5.2982,                0.13659,                 0.8699,                0.99984,                      1,                  0.995,                0.99473,                0.67399,                0.67402,                0.59179,                0.24189,                0.04515,                 6.2456,                  5.085,                0.20443,                0.59108,               0.006436,               0.006436,               0.006436
                     57,                 0.0235,                 8.9415,                 5.2999,                0.13913,                0.87073,                0.99975,                      1,                  0.995,                0.99472,                0.66755,                0.66772,                0.57514,                0.23967,                0.04273,                 6.2055,                 5.0752,                0.20939,                0.58141,                0.00637,                0.00637,                0.00637
                     58,                0.02384,                 8.9123,                 5.2286,                0.13929,                 0.8744,                0.99977,                      1,                  0.995,                0.99488,                0.67701,                0.67717,                0.59101,                 0.2453,                 0.0442,                 6.1748,                 5.0161,                0.20917,                0.58918,               0.006304,               0.006304,               0.006304
                     59,                0.02329,                 8.9287,                 5.2819,                0.13705,                0.87292,                0.99979,                      1,                  0.995,                 0.9949,                0.69122,                0.69134,                0.59904,                0.24421,                0.04364,                  6.133,                  5.043,                0.20309,                0.58268,               0.006238,               0.006238,               0.006238
