domain,url,status,error,ind
herb.csbg.nsc.ru:8081,http://herb.csbg.nsc.ru:8081/backend/herbarium/view/41628,200,Downloaded image. Final - 200 Initial - ,94
archimg.mnhn.lu,https://archimg.mnhn.lu/Collections/Herbarium_jpg/LUX019036.jpg,200,Downloaded image. Final - 200 Initial - ,95
altb.asu.ru,http://altb.asu.ru/photo_altb/1100000105.jpg,200,Downloaded image. Final - 200 Initial - ,96
media.qfa.herbier.ulaval.ca,http://media.qfa.herbier.ulaval.ca/QFA0506472.jpg,False,"Max retries exceeded, could not download the image.",97
data.brin.go.id,https://data.brin.go.id/api/access/datafile/163902,200,Downloaded image. Final - 200 Initial - ,98
data.landcareresearch.co.nz,http://data.landcareresearch.co.nz/Image/PFE/NZVH,200,Downloaded image. Final - 200 Initial - ,99
ipt.nature.ca,http://ipt.nature.ca/multimedia/412/202/CAN10183856_2024-05-01.jpg,200,Downloaded image. Final - 200 Initial - ,100
www.eiu.edu,https://www.eiu.edu/booth/herbarium/jpg/202002/EIU077695.jpg,200,Downloaded image. Final - 200 Initial - ,101
library.eiu.edu,https://library.eiu.edu/keepUpload/herbarium/jpg/EIU007593.jpg,404,Error 404,102
biodiversidad.gt,https://biodiversidad.gt/imglib/guatemala/USAC_USCG/00009/USCG9604_1679622048_lg.jpg,200,Downloaded image. Final - 200 Initial - ,103
soroherbaria.org,https://soroherbaria.org/imglib/seinet/soro/GREE_GREE/00008/08881_lg.jpg,200,Downloaded image. Final - 200 Initial - ,104
www.zobodat.at,https://www.zobodat.at/bilder/belege/00021309.jpg,200,Downloaded image. Final - 200 Initial - ,105
sesam.senckenberg.de,http://sesam.senckenberg.de/pictures/originale/32/43912.jpg,200,Downloaded image. Final - 200 Initial - ,106
www.nansh.org,https://www.nansh.org/imglib/seinet/nansh/VT/UVMVT292/UVMVT292932_1612198798_lg.jpg,200,Downloaded image. Final - 200 Initial - ,107
193.144.34.193,http://193.144.34.193/imsrv/santimagethumb.php?id=4692,200,Error cannot identify image file <_io.BytesIO object at 0x000001D4E61A0950>,108
resolver.bibliothek.uni-regensburg.de,http://resolver.bibliothek.uni-regensburg.de/get/file/FILE_UBR_7816,200,Downloaded image. Final - 200 Initial - ,109
sdplantatlas.org,https://sdplantatlas.org/HiResDisplay/HiResZoomDisplay.aspx?H=280778,200,Downloaded image. Extracted HIGHRES url from dynamic image viewer.,110
mcgillherbarium.com,https://mcgillherbarium.com/img/53280.jpg,200,Downloaded image. Final - 200 Initial - ,111
www.herbarium-erlangense.nat.uni-erlangen.de,http://www.herbarium-erlangense.nat.uni-erlangen.de/datenbank/bild/226/22687-large.jpg,404,Error 404,112
pm.nm.cz,http://pm.nm.cz/OpenUpData/Botanika/Fotky/NAKI_Typy_eSbirky/PR_25282.jpg,False,An unexpected error occurred,113
www.intermountainbiota.org,https://www.intermountainbiota.org/imglib/seinet/intermt/WS/00391/WS003157_1678149224_lg.jpg,200,Downloaded image. Final - 200 Initial - ,114
bajaflora.org,https://bajaflora.org/HiResDisplay/HiResZoomDisplay.aspx?H=268674,200,Downloaded image. Extracted HIGHRES url from dynamic image viewer.,115
hoppe.bibliothek.uni-regensburg.de,http://hoppe.bibliothek.uni-regensburg.de/files/FeB/neue_Bilder/presentation/1561.jpg,200,Downloaded image. Final - 200 Initial - ,116
mnhn.picturae.com,http://mnhn.picturae.com/MNHN/2016/05/27/CP1_20160527_BATCH_0001/jpg/BESA016780.jpg,False,An unexpected error occurred,117
dataflos.sav.sk:8080,http://dataflos.sav.sk:8080/scans/nabelek/jpeg/SAV0003518.jpg,200,Downloaded image. Final - 200 Initial - ,118
digibug.ugr.es,https://digibug.ugr.es/bitstream/handle/10481/60464/GDA28737.jpg?sequence=1&isAllowed=y,200,Downloaded image. Final - 200 Initial - ,119
portal.neherbaria.org,https://portal.neherbaria.org/imglib/cnh/VT/UVMVT097/UVMVT097411_1532026871_lg.jpg,404,Error 404,120
floragridmap.uz,https://floragridmap.uz/uploads/original_scans/jpg/collections/TASH003104.jpg,200,Downloaded image. Final - 200 Initial - ,121
herbariumle.ru,https://herbariumle.ru/data/upload/db_le_herbarium/THUMB/0081/0081953.jpg,200,Downloaded image. Final - 200 Initial - ,122
herbarium.cc.umanitoba.ca,http://herbarium.cc.umanitoba.ca/Lonicera%20villosa/36086.jpg,200,Downloaded image. Final - 200 Initial - ,123
collections.lib.utah.edu,https://collections.lib.utah.edu/file?id=2385071,200,Downloaded image. Final - 200 Initial - ,124
rhoenmuseum-fladungen.sesam.senckenberg.de,http://rhoenmuseum-fladungen.sesam.senckenberg.de/pictures/originale/632/13934.jpg,200,Downloaded image. Final - 200 Initial - ,125
serv.biokic.asu.edu,https://serv.biokic.asu.edu/imglib/seinet/ASU/ASU0128/ASU0128968_lg.jpg,200,Downloaded image. Final - 200 Initial - ,126
gwdu64.gwdg.de,https://gwdu64.gwdg.de/images/forster/overview/259_Prodr_Nr_366_b_1.jpg,200,Downloaded image. Final - 200 Initial - ,127
ph.ansp.org,http://ph.ansp.org/image/Spermatophyte/Fullsize/00762/PH00762308.jpg,200,Downloaded image. Final - 200 Initial - ,128
www.ucm.es,https://www.ucm.es/herbariomacb/file/macb008928/?ver,200,Downloaded image. Final - 200 Initial - ,129
colecciones.uv.es,https://colecciones.uv.es/files/large/d895869ec9bc65f5d2f516a8277e2828f5f0602e.jpg,200,Downloaded image. Final - 200 Initial - ,130
storage.gbif-no.sigma2.no,https://storage.gbif-no.sigma2.no/ipt-ukraine-img/2758ae0b-88ac-4e59-8fa8-7f2890317ca0/108000.JPG,200,Downloaded image. Final - 200 Initial - ,131
herbarium.bio.vsu.ru,http://herbarium.bio.vsu.ru/data/upload/db_vor_herbarium/BIG/0008/0008938.jpg,200,Downloaded image. Final - 200 Initial - ,132
usuherbarium.usu.edu,http://usuherbarium.usu.edu/UTCimages/270/UTC00267599.jpg,False,"Max retries exceeded, could not download the image.",133
www.ngbif.org.ng,http://www.ngbif.org.ng/pp/FHI0040052.jpg,False,An unexpected error occurred,134
farm2.staticflickr.com,https://farm2.staticflickr.com/1917/43623953290_74d929cf04_o_d.jpg,200,Downloaded image. Final - 200 Initial - ,135
specify-att.isa.ulisboa.pt,https://specify-att.isa.ulisboa.pt/static/originals/sp67499002176161458909.att.jpg,200,Downloaded image. Final - 200 Initial - ,136
biimages.biodiversity.ku.edu,http://biimages.biodiversity.ku.edu/static/VascularPlant/originals/2015_02_05-KANU00327293.jpg,200,Downloaded image. Final - 200 Initial - ,137
lod.ansp.org,http://lod.ansp.org/images/Botany/FULLSIZE/PH/00133/PH00133935.jpg,404,Error 404,138
farm5.staticflickr.com,https://farm5.staticflickr.com/4870/45842461624_7c6e5b21b3_o_d.jpg,200,Downloaded image. Final - 200 Initial - ,139
farm8.staticflickr.com,https://farm8.staticflickr.com/7838/32692916738_44f1560dd5_o_d.jpg,200,Downloaded image. Final - 200 Initial - ,140
media.api.aucklandmuseum.com,http://media.api.aucklandmuseum.com/id/media/v/552436?rendering=original.jpg,200,Downloaded image. Final - 200 Initial - ,141
bry.byu.edu,http://bry.byu.edu/Herbarium/imgbry/01/0127/BRYV0127951_lg.jpg,200,Downloaded image. Final - 200 Initial - ,142
jbrj-public.s3-sa-east-1.amazonaws.com,http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/7/27/48/alcb00072748.dzi,403,Error cannot identify image file <_io.BytesIO object at 0x000001D4EAD57330>,143
www.sernecportal.org,https://www.sernecportal.org/imglib/seinet/sernec/LFCC/LFCC-0007/LFCC-0007872.jpg,200,Downloaded image. Final - 200 Initial - ,144
