domain,url
digitallibrary.vassar.edu,https://digitallibrary.vassar.edu/sites/default/files/2022-06/87267-Service%20File.jpg
arctos.database.museum,http://arctos.database.museum/media/10701383?open
beaty.b-cdn.net,https://beaty.b-cdn.net/V250282.jpg
ncmns-cams.s3.amazonaws.com,https://ncmns-cams.s3.amazonaws.com/Collections/herbarium/NCSM001716.JPG
herb.csbg.nsc.ru:8081,http://herb.csbg.nsc.ru:8081/backend/herbarium/view/41628
archimg.mnhn.lu,https://archimg.mnhn.lu/Collections/Herbarium_jpg/LUX019036.jpg
altb.asu.ru,http://altb.asu.ru/photo_altb/1100000105.jpg
media.qfa.herbier.ulaval.ca,http://media.qfa.herbier.ulaval.ca/QFA0506472.jpg
data.brin.go.id,https://data.brin.go.id/api/access/datafile/163902
data.landcareresearch.co.nz,http://data.landcareresearch.co.nz/Image/PFE/NZVH
ipt.nature.ca,http://ipt.nature.ca/multimedia/412/202/CAN10183856_2024-05-01.jpg
www.eiu.edu,https://www.eiu.edu/booth/herbarium/jpg/202002/EIU077695.jpg
library.eiu.edu,https://library.eiu.edu/keepUpload/herbarium/jpg/EIU007593.jpg
biodiversidad.gt,https://biodiversidad.gt/imglib/guatemala/USAC_USCG/00009/USCG9604_1679622048_lg.jpg
soroherbaria.org,https://soroherbaria.org/imglib/seinet/soro/GREE_GREE/00008/08881_lg.jpg
www.zobodat.at,https://www.zobodat.at/bilder/belege/00021309.jpg
sesam.senckenberg.de,http://sesam.senckenberg.de/pictures/originale/32/43912.jpg
www.nansh.org,https://www.nansh.org/imglib/seinet/nansh/VT/UVMVT292/UVMVT292932_1612198798_lg.jpg
193.144.34.193,http://193.144.34.193/imsrv/santimagethumb.php?id=4692
resolver.bibliothek.uni-regensburg.de,http://resolver.bibliothek.uni-regensburg.de/get/file/FILE_UBR_7816
sdplantatlas.org,https://sdplantatlas.org/HiResDisplay/HiResZoomDisplay.aspx?H=280778
mcgillherbarium.com,https://mcgillherbarium.com/img/53280.jpg
www.herbarium-erlangense.nat.uni-erlangen.de,http://www.herbarium-erlangense.nat.uni-erlangen.de/datenbank/bild/226/22687-large.jpg
pm.nm.cz,http://pm.nm.cz/OpenUpData/Botanika/Fotky/NAKI_Typy_eSbirky/PR_25282.jpg
www.intermountainbiota.org,https://www.intermountainbiota.org/imglib/seinet/intermt/WS/00391/WS003157_1678149224_lg.jpg
bajaflora.org,https://bajaflora.org/HiResDisplay/HiResZoomDisplay.aspx?H=268674
hoppe.bibliothek.uni-regensburg.de,http://hoppe.bibliothek.uni-regensburg.de/files/FeB/neue_Bilder/presentation/1561.jpg
